,word,f1,f2,f3,f4,f5,f6,f7,number_of_letters,chatgpt_score_encoded,fasttext_A_sim,fasttext_B_sim,fasttext_C_sim
129,отбасы,4500,363,39,1064,108,2569,38,6,1.0,0.36506107,0.379133,0.27323464
130,жаңа,2244,122,334,883,312,4722,62,4,1.0,0.5493018,0.5681294,0.50555605
131,бастау,2254,600,712,895,260,3820,73,6,1.0,0.33432204,0.3584473,0.3353116
132,бастау,2254,600,712,895,260,3820,73,6,1.0,0.33432204,0.3584473,0.3353116
133,бастау,82,2,0,2,13,0,0,6,1.0,0.33432204,0.3584473,0.3353116
134,бастау,82,2,0,2,13,0,0,6,1.0,0.33432204,0.3584473,0.3353116
135,жету,2060,33,1011,600,678,4145,56,4,1.0,0.33213875,0.33723715,0.27024227
136,ал,957,1097,967,2298,956,2118,0,2,0.0,0.1600897,0.0004338259,-0.08168751
137,ал,957,1097,967,2298,956,2118,0,2,0.0,0.1600897,0.0004338259,-0.08168751
138,ал,957,1097,967,2298,956,2118,0,2,0.0,0.1600897,0.0004338259,-0.08168751
139,ал,38,0,232,105,317,194,0,2,0.0,0.1600897,0.0004338259,-0.08168751
140,ал,38,0,232,105,317,194,0,2,0.0,0.1600897,0.0004338259,-0.08168751
141,ал,38,0,232,105,317,194,0,2,0.0,0.1600897,0.0004338259,-0.08168751
142,ал,15,0,25,28,17,21,0,2,0.0,0.1600897,0.0004338259,-0.08168751
143,ал,15,0,25,28,17,21,0,2,0.0,0.1600897,0.0004338259,-0.08168751
144,ал,15,0,25,28,17,21,0,2,0.0,0.1600897,0.0004338259,-0.08168751
145,барлық,1722,912,785,804,276,3647,47,6,1.0,0.5476016,0.53552526,0.45115554
146,арқылы,2988,728,56,505,58,3785,50,6,1.0,0.4749692,0.41091955,0.34905323
147,соң,1114,504,1125,840,381,4155,23,3,0.0,0.44453397,0.39820805,0.34818494
148,жақсы,2636,8,870,665,1256,2683,127,5,0.0,0.5661178,0.57124203,0.50794065
149,туралы,2,831,291,937,334,5616,92,6,1.0,0.41796634,0.41342083,0.34416035
150,жеке,1102,4188,33,310,50,2278,13,4,1.0,0.5143325,0.5193896,0.47055644
151,ат,855,385,1160,722,252,4581,61,2,0.0,0.16339189,0.05022635,-0.012092708
152,су,3918,536,952,383,319,1692,125,2,0.0,0.25485235,0.060268804,-0.014357146
153,пен,2350,383,274,686,244,3666,63,3,0.0,0.41380644,0.42209587,0.36308813
154,негіз,1772,1198,18,434,33,4141,8,5,1.0,0.36370057,0.41527444,0.35339326
155,мектеп,2836,304,177,794,87,3388,87,6,2.0,0.3972241,0.38499105,0.3361311
156,қою,1888,150,1159,780,374,3171,61,3,0.0,0.37529618,0.39566663,0.35044092
157,қою,1888,150,1159,780,374,3171,61,3,0.0,0.37529618,0.39566663,0.35044092
158,қою,58,36,21,38,66,78,0,3,0.0,0.37529618,0.39566663,0.35044092
159,қою,58,36,21,38,66,78,0,3,0.0,0.37529618,0.39566663,0.35044092
160,берілу,2761,1730,51,378,105,2488,16,6,1.0,0.363802,0.3739871,0.2612441
161,істеу,1765,101,820,782,1077,2855,68,5,1.0,0.35672152,0.3350662,0.26931727
162,оқушы,4526,79,99,563,15,2088,41,5,1.0,0.41319966,0.36479947,0.27114692
163,бірінші,5251,262,210,404,27,1135,0,7,2.0,0.44383782,0.4157828,0.33726034
164,үлкен,2957,46,689,157,240,3057,115,5,1.0,0.5582069,0.56566817,0.49784985
165,қазір,673,4,566,67,695,5042,60,5,1.0,0.46250084,0.4131902,0.38566294
166,мақсат,2107,1028,34,474,55,3178,20,6,1.0,0.36451027,0.42541945,0.37055874
167,тарту,1427,737,425,591,389,3270,13,5,1.0,0.39311233,0.41047218,0.3500059
168,тарту,1427,737,425,591,389,3270,13,5,1.0,0.39311233,0.41047218,0.3500059
169,тарту,45,41,8,35,11,229,0,5,1.0,0.39311233,0.41047218,0.3500059
170,тарту,45,41,8,35,11,229,0,5,1.0,0.39311233,0.41047218,0.3500059
171,жағдай,2125,241,153,755,182,3346,15,6,1.0,0.42263776,0.44134095,0.369629
172,кім,2426,38,904,466,813,2152,21,3,0.0,0.4036705,0.37217644,0.2902352
173,мемлекеттік,1274,790,15,47,37,4622,13,11,3.0,0.42605627,0.47922218,0.44017446
174,уақыт,1288,254,611,696,383,3535,87,5,1.0,0.49019113,0.46045467,0.38745826
175,сала,1151,917,45,565,43,4005,22,4,1.0,0.4203819,0.44986653,0.42732218
176,қабылдау,1404,1541,91,384,92,3195,9,8,2.0,0.38320807,0.39517686,0.31784427
177,қабылдау,1404,1541,91,384,92,3195,9,8,2.0,0.38320807,0.39517686,0.31784427
178,қабылдау,1278,1690,0,229,28,1152,0,8,2.0,0.38320807,0.39517686,0.31784427
179,қабылдау,1278,1690,0,229,28,1152,0,8,2.0,0.38320807,0.39517686,0.31784427
180,сан,3281,610,132,420,61,2088,8,3,0.0,0.46942827,0.44549775,0.3860991
181,ғалым,2781,151,38,686,31,2847,23,5,1.0,0.31771943,0.3369622,0.2760083
182,ара,1748,34,568,735,204,5287,40,3,0.0,0.3473023,0.32528377,0.30069214
183,ғой,581,0,1169,716,125,3917,13,3,0.0,0.40507853,0.3880409,0.36040407
184,ақын,2806,3,45,608,104,2795,17,4,1.0,0.40567857,0.44038978,0.44469473
185,жауап,3276,30,361,275,194,2210,17,5,1.0,0.3968807,0.41611028,0.33839384
186,сияқты,1508,146,274,517,545,3321,70,6,1.0,0.5343907,0.52953833,0.48832092
187,құқық,970,2395,4,373,186,2359,4,5,1.0,0.40643367,0.49017698,0.41859648
188,реттеу,768,853,40,629,55,3888,2,6,1.0,0.3509842,0.3676028,0.31859857
189,тағы,903,58,1013,507,664,3070,40,4,1.0,0.47099453,0.45994905,0.42344132
190,тағы,903,58,1013,507,664,3070,40,4,1.0,0.47099453,0.45994905,0.42344132
191,тағы,903,58,1013,507,664,3070,40,4,1.0,0.47099453,0.45994905,0.42344132
192,тағы,58,0,14,14,3,47,0,4,1.0,0.47099453,0.45994905,0.42344132
193,тағы,58,0,14,14,3,47,0,4,1.0,0.47099453,0.45994905,0.42344132
194,тағы,58,0,14,14,3,47,0,4,1.0,0.47099453,0.45994905,0.42344132
195,тағы,3,0,1,0,2,11,0,4,1.0,0.47099453,0.45994905,0.42344132
196,тағы,3,0,1,0,2,11,0,4,1.0,0.47099453,0.45994905,0.42344132
197,тағы,3,0,1,0,2,11,0,4,1.0,0.47099453,0.45994905,0.42344132
198,табу,1844,51,797,457,506,2549,39,4,1.0,0.38715342,0.36490226,0.309533
199,табу,1844,51,797,457,506,2549,39,4,1.0,0.38715342,0.36490226,0.309533
200,табу,24,5,0,0,0,3,0,4,1.0,0.38715342,0.36490226,0.309533
201,табу,24,5,0,0,0,3,0,4,1.0,0.38715342,0.36490226,0.309533
202,күш,1463,593,485,494,192,2959,29,3,0.0,0.3926505,0.43641788,0.3657367
203,сату,3336,57,312,251,202,1974,36,4,1.0,0.34104803,0.35010323,0.29517278
204,сіз,1072,161,729,577,711,2869,19,3,0.0,0.3831782,0.3470964,0.28777334
205,ауыл,1706,370,269,657,157,2910,71,4,1.0,0.41000536,0.41529533,0.39224434
206,даму,2023,603,2,444,10,2977,28,4,1.0,0.37800726,0.43448946,0.42075774
207,енді,1986,2,1000,870,2021,152,0,4,1.0,0.43264148,0.42597604,0.39487654
208,енді,1986,2,1000,870,2021,152,0,4,1.0,0.43264148,0.42597604,0.39487654
209,енді,8,0,17,1,2,74,0,4,1.0,0.43264148,0.42597604,0.39487654
210,енді,8,0,17,1,2,74,0,4,1.0,0.43264148,0.42597604,0.39487654
211,бет,2439,148,630,498,330,1984,13,3,0.0,0.26248762,0.25538027,0.2363104
212,облыс,609,818,5,768,108,3714,10,5,1.0,0.34771815,0.35378522,0.3424969
213,ұлт,1966,1015,34,783,8,2199,38,3,0.0,0.40218592,0.43146646,0.38703
214,айналу,1813,61,423,907,297,2501,44,6,1.0,0.27386776,0.29154176,0.22754565
215,топ,2807,113,173,339,122,2387,11,3,0.0,0.37203664,0.3547038,0.24964283
216,байланысты,1878,770,0,401,0,2806,26,10,3.0,0.36138833,0.40951335,0.34063455
217,жатыру,996,16,827,790,729,2457,39,6,1.0,0.38880768,0.39940852,0.40478826
218,тек,1313,289,544,582,385,2700,117,3,0.0,0.4945208,0.43069154,0.3636343
219,тек,1313,289,544,582,385,2700,117,3,0.0,0.4945208,0.43069154,0.3636343
220,тек,1313,289,544,582,385,2700,117,3,0.0,0.4945208,0.43069154,0.3636343
221,тек,0,0,504,0,0,3,0,3,0.0,0.4945208,0.43069154,0.3636343
222,тек,0,0,504,0,0,3,0,3,0.0,0.4945208,0.43069154,0.3636343
223,тек,0,0,504,0,0,3,0,3,0.0,0.4945208,0.43069154,0.3636343
224,тек,18,19,13,18,8,35,0,3,0.0,0.4945208,0.43069154,0.3636343
225,тек,18,19,13,18,8,35,0,3,0.0,0.4945208,0.43069154,0.3636343
226,тек,18,19,13,18,8,35,0,3,0.0,0.4945208,0.43069154,0.3636343
227,заң,1972,340,46,415,112,2914,6,3,0.0,0.38703552,0.4323399,0.34163582
228,сақтау,2111,931,179,332,146,2090,40,6,1.0,0.4134361,0.42990762,0.36003107
229,сонда,151,14,884,323,482,3911,20,5,1.0,0.37382442,0.31553695,0.24340723
230,жіберу,931,163,986,501,552,2607,18,6,1.0,0.30592608,0.30115512,0.24629085
231,ойлау,1263,8,1146,616,578,2095,55,5,1.0,0.43285608,0.46390027,0.43056992
232,ойлау,1263,8,1146,616,578,2095,55,5,1.0,0.43285608,0.46390027,0.43056992
233,ойлау,411,5,48,39,22,279,0,5,1.0,0.43285608,0.46390027,0.43056992
234,ойлау,411,5,48,39,22,279,0,5,1.0,0.43285608,0.46390027,0.43056992
235,қайту,695,52,933,275,601,3113,40,5,1.0,0.31682765,0.30243805,0.2644472
236,әр,2056,168,292,469,122,2539,54,2,0.0,0.27575365,0.099406086,-0.0013527888
237,әр,2056,168,292,469,122,2539,54,2,0.0,0.27575365,0.099406086,-0.0013527888
238,әр,1,0,4,2,1,4,0,2,0.0,0.27575365,0.099406086,-0.0013527888
239,әр,1,0,4,2,1,4,0,2,0.0,0.27575365,0.099406086,-0.0013527888
240,аталу,2742,296,34,260,32,2273,12,5,1.0,0.24881312,0.2631188,0.25488022
241,атау,168,5229,25,107,14,89,26,4,1.0,0.3262672,0.34614938,0.29488456
242,атау,168,5229,25,107,14,89,26,4,1.0,0.3262672,0.34614938,0.29488456
243,атау,915,213,725,548,273,918,0,4,1.0,0.3262672,0.34614938,0.29488456
244,атау,915,213,725,548,273,918,0,4,1.0,0.3262672,0.34614938,0.29488456
245,қосымша,2805,1116,16,161,20,1470,3,7,2.0,0.48951125,0.508266,0.4124454
246,қосымша,2805,1116,16,161,20,1470,3,7,2.0,0.48951125,0.508266,0.4124454
247,қосымша,513,760,8,26,9,470,0,7,2.0,0.48951125,0.508266,0.4124454
248,қосымша,513,760,8,26,9,470,0,7,2.0,0.48951125,0.508266,0.4124454
249,әке,2522,75,384,299,346,1957,100,3,0.0,0.35084206,0.34303722,0.30453166
250,сабақ,4249,25,126,235,26,901,47,5,1.0,0.37832633,0.37006164,0.3031864
251,кен,973,72,405,207,1731,2159,1,3,0.0,0.4080368,0.46219507,0.45465845
252,сөйлеу,1468,44,280,366,262,3110,27,6,1.0,0.3769795,0.3937374,0.36008513
253,мысал,2371,80,51,359,47,2621,71,5,1.0,0.26734683,0.2916721,0.21603847
254,мына,1786,42,585,376,713,1993,10,4,1.0,0.4942633,0.4864073,0.43330228
255,үш,497,322,623,446,202,3356,53,2,0.0,0.3001329,0.07779197,-0.011897626
256,өте,1803,62,515,498,469,2057,0,3,0.0,0.50632465,0.498783,0.43978974
257,бес,1604,594,663,480,280,1751,53,3,0.0,0.55031586,0.4368035,0.37456408
258,жоғары,1546,193,180,566,161,2718,24,6,1.0,0.4654353,0.46893477,0.45984998
259,бүгін,1173,34,278,276,18,3571,35,5,1.0,0.42362443,0.3942002,0.3562083
260,кейін,1401,368,549,516,330,2151,134,5,1.0,0.43073133,0.35825473,0.3254044
261,кейін,1401,368,549,516,330,2151,134,5,1.0,0.43073133,0.35825473,0.3254044
262,кейін,747,155,214,224,349,946,0,5,1.0,0.43073133,0.35825473,0.3254044
263,кейін,747,155,214,224,349,946,0,5,1.0,0.43073133,0.35825473,0.3254044
264,рет,2346,216,354,323,266,1799,67,3,0.0,0.42825726,0.33532614,0.27692896
265,қатар,1456,316,88,534,71,2824,34,5,1.0,0.35070318,0.33016795,0.30706906
266,пайдалану,1978,1501,47,3,59,1695,39,9,2.0,0.43713298,0.44233224,0.38891384
267,жылы,4,0,47,1232,82,3895,2,4,1.0,0.3651537,0.28348848,0.20728168
268,зерттеушілік,3848,25,175,99,142,940,0,12,3.0,0.2948911,0.36696574,0.3387511
269,бой,2209,92,688,545,321,1363,37,3,0.0,0.28668526,0.29570282,0.3281475
270,қажет,1192,591,103,430,89,2798,44,5,1.0,0.4094546,0.3901276,0.28620538
271,қажет,1192,591,103,430,89,2798,44,5,1.0,0.4094546,0.3901276,0.28620538
272,қажет,117,11,99,80,224,319,0,5,1.0,0.4094546,0.3901276,0.28620538
273,қажет,117,11,99,80,224,319,0,5,1.0,0.4094546,0.3901276,0.28620538
274,сұрау,933,103,927,255,411,2558,34,5,1.0,0.30364227,0.30362105,0.2754985
275,сұрау,933,103,927,255,411,2558,34,5,1.0,0.30364227,0.30362105,0.2754985
276,сұрау,433,2151,29,25,6,115,0,5,1.0,0.30364227,0.30362105,0.2754985
277,сұрау,433,2151,29,25,6,115,0,5,1.0,0.30364227,0.30362105,0.2754985
278,түсіну,1909,162,349,66,632,1995,40,6,1.0,0.32328424,0.33024582,0.3206904
279,қалай,3017,27,957,91,947,0,36,5,1.0,0.44661474,0.40007976,0.35048708
280,жүйе,1217,59,2,356,44,3356,11,4,1.0,0.38769588,0.42019713,0.35683653
281,салу,997,99,1038,438,270,2141,49,4,1.0,0.42008692,0.40661407,0.36818776
282,мүмкін,754,700,448,400,390,2288,56,6,1.0,0.36041218,0.34436062,0.31083873
283,құрал,3156,786,25,273,40,654,10,5,1.0,0.3425556,0.37410188,0.29585308
284,қолдау,384,269,26,108,70,4065,15,6,1.0,0.34663063,0.40584648,0.32638505
285,қолдау,384,269,26,108,70,4065,15,6,1.0,0.34663063,0.40584648,0.32638505
286,қолдау,44,52,2,128,11,388,0,6,1.0,0.34663063,0.40584648,0.32638505
287,қолдау,44,52,2,128,11,388,0,6,1.0,0.34663063,0.40584648,0.32638505
288,қайта,646,583,513,376,436,2366,0,5,1.0,0.3803602,0.40985203,0.39382923
289,ғасыр,2736,40,18,405,4,1716,31,5,1.0,0.38301268,0.33789065,0.32680032
290,көтеру,1025,72,588,448,393,2387,32,6,1.0,0.32658952,0.32844776,0.31960502
291,құжат,134,3126,2,221,67,1357,9,5,1.0,0.33183312,0.37945858,0.31241518
292,анықтау,2021,329,63,126,23,2344,7,7,2.0,0.36499822,0.36675143,0.34189045
293,ой,1291,12,490,452,440,2164,25,2,0.0,0.20292939,0.07687425,0.045995094
294,ой,1291,12,490,452,440,2164,25,2,0.0,0.20292939,0.07687425,0.045995094
295,ой,0,7,35,5,58,76,0,2,0.0,0.20292939,0.07687425,0.045995094
296,ой,0,7,35,5,58,76,0,2,0.0,0.20292939,0.07687425,0.045995094
297,сондықтан,1320,61,233,497,158,2567,123,9,2.0,0.37561363,0.38136256,0.3347294
298,табылу,1320,1065,142,252,69,1987,18,6,1.0,0.31067774,0.28552476,0.24053743
